"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CIAO2B",184.500791502999,0.268099052907156,0.119659511074222,2.24051603169982,0.0250574411759243,0.220125013879566
"AHNAK",3194.72273530255,0.268193485794744,0.0727491483473725,3.68655155266062,0.000227313410157878,0.00694063612348721
"MAGT1",168.838961310392,0.268716951830608,0.126486246722308,2.12447565481612,0.0336303896745111,0.259758525118678
"SLC39A14",125.389691135584,0.269536928398368,0.132635807516865,2.03215808343532,0.0421376548221438,0.299295944589679
"RPS28",1087.75398917186,0.270953178151114,0.0951468359372085,2.84773713683897,0.0044031276584092,0.0699859596708074
"PEA15",385.67002385307,0.271526220181205,0.0983600591661498,2.76053331487472,0.00577070720263052,0.0835603808755609
"TM9SF2",202.906955289883,0.273735436557802,0.123069741165189,2.22423021261077,0.0261329593037679,0.22504190442228
"TIMP2",1058.21384675637,0.276338787859731,0.084656639344158,3.26423054352913,0.00109761812491255,0.0236878634077986
"KPNA4",114.059502681065,0.277814509705329,0.139829841063258,1.98680415848895,0.0469441036210118,0.315935387163271
"CANX",502.373504234735,0.27787590577122,0.0852037490150766,3.26131078718203,0.00110898418029177,0.0238499102147618
"RBFOX2",233.102981828666,0.277888609438275,0.0919443547851415,3.02235640336651,0.00250815050380664,0.0456786290575448
"RPS29",656.875066503489,0.279367212695417,0.0829728549682726,3.3669711956066,0.000759986259447113,0.0177320567628736
"MYO1B",162.024710340272,0.279762027428977,0.124485650515479,2.24734357952518,0.0246180777777846,0.218071024212095
"ARF6",130.002925499677,0.279785139364823,0.13888324794624,2.01453482332961,0.0439534125753624,0.305288610584169
"RPL23",1303.17725915062,0.280917280125683,0.072191610100821,3.89127323429081,9.97195601917474e-05,0.00358468628293939
"BLCAP",114.654193403273,0.281912040575912,0.12607639060124,2.23604149223749,0.0253490533639547,0.221359052313681
"ITM2B",156.99673599318,0.282560653893374,0.122363278694392,2.30919485738104,0.0209327708159982,0.194627551812507
"PRDX6",396.691430624891,0.282841298519533,0.0939772118972545,3.00967961072056,0.00261523399259512,0.0470742118667121
"UGGT1",197.582982616092,0.283065721808716,0.115867819558923,2.44300551167933,0.0145655148317295,0.156487538148711
"TMEM30A",299.859648773607,0.283906758236482,0.101317322971379,2.80215416189669,0.00507626099896516,0.0767569367928219
"EIF3C",1015.38206056892,0.284119454428574,0.0717448890785181,3.96013511314558,7.49073692926438e-05,0.00282409917278303
"STAT6",88.1609716726297,0.285893206092276,0.136016662583951,2.10189840465921,0.0355621763365764,0.269132112960896
"RPL37A",1754.20666394097,0.28603555098113,0.0978649859928016,2.92275677638343,0.00346947416759826,0.0583721327299593
"UBE2Z",119.594573142361,0.286441396222185,0.143176584710059,2.00061620971226,0.0454337653701433,0.310375645457354
"FOXO3",134.892210041104,0.286766633587329,0.128584077253347,2.23018774729251,0.025734981348679,0.223639338972428
"MAN1B1",129.290832686065,0.286912270897665,0.135241930447239,2.1214742347204,0.0338819139421687,0.261537919980561
"BGN",479.749881275373,0.287343641111679,0.0980961550971216,2.92920391046102,0.00339831406961522,0.0575665092943312
"MAP1A",555.334584170833,0.289003420898879,0.102803643614126,2.81121768391454,0.00493543820497787,0.0753476899293288
"TLN1",655.642642002233,0.291065066968772,0.0814496446763356,3.57355846210755,0.000352162571326232,0.00957108210334105
"ATL3",155.69540009373,0.291726873747701,0.115070032434096,2.53521153663342,0.0112379441303915,0.131226078485761
"WDR26",135.295061066017,0.292615703605113,0.139472276763008,2.09802055574332,0.0359033295731181,0.270887244329703
"BSDC1",164.961698825621,0.294305381597876,0.136389630925185,2.15782812521367,0.0309411973191542,0.246532761629292
"ARHGEF12",190.667474743727,0.295441489753266,0.1216599092005,2.42842109364366,0.0151647245777631,0.159822043840938
"SNX6",145.058131954621,0.295818184217345,0.115084523816127,2.57044278768516,0.0101568601957349,0.123141396397127
"ACTR3",167.900247546285,0.296638262950858,0.126198693331943,2.35056524848958,0.0187449208761958,0.182089309941114
"RAP1B",247.164416136024,0.297357019598502,0.129093189485357,2.30342917998964,0.021254707532142,0.196880684151661
"ITGB1",1755.43983990144,0.299376094756302,0.0854825460970007,3.50218972673775,0.000461450896004587,0.0119129473486278
"CCN1",1312.13485637323,0.299678718592886,0.0733875754639046,4.08350755149666,4.43609870416873e-05,0.0018403849629409
"PACSIN2",104.844969705122,0.302111350958135,0.145325404963142,2.07886123582286,0.0376301065481093,0.279815933598268
"CPT1A",87.787475497169,0.303840538434952,0.15478367902407,1.96300114037026,0.0496460415283108,0.326554760393134
"DDOST",302.368510935555,0.304615217405344,0.138798772949242,2.19465353282872,0.0281884603365831,0.234417283471544
"LRRFIP1",374.738634264,0.305039941438234,0.0846306998587563,3.60436510565702,0.000312916918297265,0.00877399763779445
"LAMC1",408.973313836407,0.306019803835325,0.0820441453864829,3.72994078241375,0.000191524778658438,0.0060264514322907
"AFAP1",133.947560611017,0.306496205230436,0.138627868720874,2.21092777418056,0.0270408389978313,0.2295037852074
"LARP1",374.351665867988,0.306976441264615,0.0935007625280138,3.28314371952466,0.00102656315147753,0.0225479217249932
"CSRP1",839.044911542105,0.307243636652066,0.0762143732139914,4.03130831751907,5.54672235753678e-05,0.00217736445142579
"TMEM43",100.603261858934,0.308626044779794,0.138944035144981,2.22122557803765,0.0263356866014163,0.225531233042323
"ASL",285.78919083203,0.308659134846961,0.126917497581835,2.43196675578906,0.0150170855687869,0.159187950972821
"CCDC80",1892.36576434943,0.309739725240756,0.0661198906272838,4.68451660010679,2.80621424902254e-06,0.000175260835370771
"HIF1A",334.253693670856,0.30984914919885,0.109445511796904,2.83108136744641,0.00463909178129012,0.072524663675643
"MT-ND3",907.512981577829,0.311085284840626,0.0863217013040194,3.60379001040543,0.000313610460610153,0.00877399763779445
"OXTR",194.217412606257,0.312873267698426,0.122604993044933,2.55188031032115,0.0107143318727633,0.127475404858743
"VCAN",249.157157830608,0.314431567645087,0.0854243495359566,3.68081898607536,0.000232486012449304,0.00704691716927552
"GPR176",150.406283960946,0.315215131915418,0.111738962716541,2.8209956871987,0.00478748465058039,0.0738571968011811
"LMO7",174.764780758408,0.316278348463793,0.0995947897521892,3.17565155015391,0.00149500408744843,0.0298180976538505
"RLIM",75.0140179707346,0.316820105184313,0.156493901016976,2.02448851441147,0.0429199125646184,0.301048008380074
"CDC42EP3",273.986643896868,0.318016701885857,0.0904801385079434,3.5147680709832,0.000440138198709698,0.0114825927536796
"PTK7",214.471786301719,0.318025549782799,0.11113896703615,2.86151255733155,0.00421624800945736,0.0681467306246005
"SEC63",113.712735596496,0.318240314742147,0.133894889091809,2.37679210088397,0.0174639280137848,0.174441788221699
"B4GALT1",243.381211548404,0.318729678435017,0.0992073887923953,3.21276149200944,0.00131465413078144,0.0271856404368616
"COL4A1",117.52288151286,0.319887582549177,0.135698221686719,2.35734542850303,0.0184061163205826,0.179644857474605
"NCOA3",146.6475060417,0.319970595626714,0.147432278757573,2.17028861198605,0.0299849887847031,0.24250058361479
"SMG1",219.148242733664,0.320088390259188,0.104657808848564,3.05842816490017,0.00222501417273582,0.0415627269789292
"NXN",155.123342095775,0.320966376868405,0.132466850402299,2.42299394824921,0.0153931831103768,0.161042387768967
"MXRA7",212.63133341021,0.323232101205463,0.106574431968087,3.03292351867523,0.00242196974775802,0.0443704857789269
"DR1",132.595395703941,0.323588285730675,0.135234514838112,2.39279363051688,0.0167206428694298,0.170039037601455
"MYO9A",88.5685862377195,0.324191332447703,0.15288697167713,2.12046408462022,0.0339669272596777,0.262030581717513
"GIPC1",236.109236491264,0.325731094591215,0.126879078803238,2.5672561439097,0.0102506860792225,0.123910052840337
"OGA",194.09565002102,0.32616259365063,0.115842080555685,2.81557955525361,0.00486893403291471,0.0746121934634988
"FKBP8",97.6069066018837,0.326190498179237,0.165568234209751,1.97012729969688,0.0488237828797942,0.323382377660169
"RAB10",151.303081743543,0.326228166617906,0.133556440217501,2.44262400290568,0.0145809194993619,0.156517057750963
"PLBD2",324.903549100562,0.3272819957059,0.113464757892138,2.88443743930622,0.00392113659434525,0.0641385914360758
"COX20",62.648117960285,0.327572154271316,0.166480912863373,1.96762588958259,0.0491110986261032,0.324465355683536
"PPP1R3C",257.816383533039,0.327959192537736,0.139576829420733,2.34966787753254,0.018790168682921,0.18224253014353
"HLA-A",561.04873850185,0.328022351062788,0.0798698854623295,4.10695907680373,4.00902224205941e-05,0.00169199894352582
"RNH1",339.98119618004,0.328299673718194,0.0906494363785054,3.62164054001818,0.000292740699511187,0.0083410863828464
"COX7C",357.258756795446,0.331831078971308,0.0953117881490279,3.4815324044961,0.000498553454272508,0.0127115711660491
"LOXL2",509.364029280233,0.331884351253423,0.0820054421652644,4.04710153973174,5.18557505393483e-05,0.00206189135424302
"ITGA6",143.113313796331,0.332436042037371,0.130066738761091,2.55588819404472,0.0105917145157384,0.126670349808144
"TMED4",86.7530687268301,0.33312011229022,0.164092872877785,2.03007057191524,0.0423493663190291,0.299502265228222
"HSPA5",1032.80998668815,0.33313618153276,0.0729662204888481,4.56562200016479,4.98015457061727e-06,0.000283799960461996
