"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GTPBP2",62.348134234709,1.07343335856734,0.178796626996911,6.00365553085005,1.92923783956738e-09,2.38569551240903e-07
"NPIPA9",18.9436768397563,1.08098985175693,0.337998989193352,3.19820439208045,0.0013828622914486,0.0281257814079826
"KLF4",20.2538066175047,1.08250937792884,0.37878349926417,2.85785780011995,0.00426511479459046,0.0684077944875559
"CENPA",9.6472711341409,1.0841761020414,0.40847718228954,2.65419012137844,0.00794990206964979,0.104030147082846
"RCAN1",86.0536974027207,1.08454907028434,0.148460090687814,7.3053240454026,2.76599324018319e-13,4.95714092871092e-11
"UBALD2",16.9581457049386,1.08748254047342,0.427721511030447,2.54250139969231,0.0110062160393981,0.129252485796009
"TMEM268",15.8089797565713,1.09053601293487,0.331273871018922,3.29194696092583,0.000994963742757941,0.0220496803637002
"SARS",369.233155317782,1.09206891051405,0.0958207354278753,11.3969998835592,4.32776924184351e-30,2.43259974748349e-27
"ZC2HC1A",22.6562999696896,1.09321329104464,0.342425522414894,3.19255785414286,0.00141018692174542,0.0284940710364442
"KRT7",55.23311664787,1.0952297367309,0.213044478202543,5.14085014533752,2.73498126839413e-07,2.22257791014919e-05
"SREBF1",337.432726252557,1.09888496728886,0.206942057068036,5.31010942317819,1.09559436172981e-07,9.67722848367916e-06
"NCOA7",22.9450457210499,1.10101470173303,0.3235694117917,3.40271565113769,0.000667196786770825,0.0161690347658223
"AL021707.5",14.0194463194387,1.10160946254341,0.40604304712417,2.71303614320118,0.0066669834443176,0.0926345730761295
"BCL10",46.3441602792694,1.10286869972876,0.246775619636677,4.46911530949653,7.8543782320179e-06,0.000411942264837453
"APOL6",31.9739556281798,1.11128495614165,0.215247555990872,5.16282264402934,2.43253594128395e-07,2.01884157381995e-05
"SCN9A",20.3570384763435,1.11737236296161,0.320302750085933,3.48848819643863,0.000485760268303458,0.012436669726378
"EIF4EBP1",204.587008532866,1.12240711900057,0.121377689052378,9.24722762283123,2.30390763814685e-20,7.49740048771682e-18
"USP32P1",15.8448580810703,1.13796478341231,0.459148731948868,2.47842301247832,0.0131964586827233,0.145963692370802
"HERPUD1",86.0913168453253,1.13992501843809,0.162689718740613,7.00674281855233,2.43930046810817e-12,4.13210816282543e-10
"KIF26B",24.0382551351338,1.14273186170044,0.260623650196427,4.38460539110394,1.16196217686867e-05,0.000581733776484128
"CEBPG",31.0548308094913,1.14273944071526,0.222209423258381,5.1426236743637,2.70927975778452e-07,2.21873864137506e-05
"CCDC24",11.2554903441347,1.14653821627772,0.56296696036194,2.03659947564346,0.0416901953876442,0.298000552695727
"ADGRL1",39.2707671406888,1.17356841200095,0.540898527826881,2.1696646443389,0.030032260302039,0.24250058361479
"ALPK1",15.5855292551424,1.17633470437103,0.353235383478413,3.33017234227022,0.00086792245864141,0.0198754243028883
"AC098484.3",11.3527533304067,1.17642402386148,0.547170433795781,2.15001387355763,0.031554117398985,0.250287502088421
"PHLDA3",97.0507239683225,1.18369887718957,0.164191919819019,7.20923951979068,5.62652165592442e-13,9.79965729537485e-11
"SLC35D2",12.8800740320316,1.18698228765232,0.373324406889644,3.17949286397231,0.00147533001986859,0.0295209239897977
"AC087392.1",6.67609638119189,1.18967441471321,0.496945005913962,2.39397599443667,0.0166668395842665,0.169631389546534
